epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2863.69,0.88149,4.65523,1.2226,0.47383,0.47842,0.41321,0.34195,0.77608,2.2764,1.04748,0.000174529,0.000174529,0.000174529
2,5691.9,0.73449,1.6847,1.07043,0.57563,0.52445,0.51742,0.43019,0.76269,1.68832,1.04336,0.000315226,0.000315226,0.000315226
